name,rank
fleming,258
jensen,259
vargas,260
byrd,261
davidson,262
hopkins,263
may,264
terry,265
herrera,266
wade,267
soto,268
walters,269
curtis,270
neal,271
caldwell,272
lowe,273
jennings,274
barnett,275
graves,276
jimenez,277
horton,278
shelton,279
barrett,280
obrien,281
castro,282
sutton,283
gregory,284
mckinney,285
lucas,286
miles,287
craig,288
rodriquez,289
chambers,290
holt,291
lambert,292
fletcher,293
watts,294
bates,295
hale,296
rhodes,297
pena,298
beck,299
newman,300
haynes,301
mcdaniel,302
mendez,303
bush,304
vaughn,305
parks,306
dawson,307
santiago,308
norris,309
hardy,310
love,311
steele,312
curry,313
powers,314
schultz,315
barker,316
guzman,317
page,318
munoz,319
ball,320
keller,321
chandler,322
weber,323
leonard,324
walsh,325
lyons,326
ramsey,327
wolfe,328
schneider,329
mullins,330
benson,331
sharp,332
bowen,333
daniel,334
barber,335
cummings,336
hines,337
baldwin,338
griffith,339
valdez,340
hubbard,341
salazar,342
reeves,343
warner,344
stevenson,345
burgess,346
santos,347
tate,348
cross,349
garner,350
mann,351
mack,352
moss,353
thornton,354
dennis,355
mcgee,356
farmer,357
delgado,358
aguilar,359
vega,360
glover,361
manning,362
cohen,363
harmon,364
rodgers,365
robbins,366
newton,367
todd,368
blair,369
higgins,370
ingram,371
reese,372
cannon,373
strickland,374
townsend,375
potter,376
goodwin,377
walton,378
rowe,379
hampton,380
ortega,381
patton,382
swanson,383
joseph,384
francis,385
goodman,386
maldonado,387
yates,388
becker,389
erickson,390
hodges,391
rios,392
conner,393
adkins,394
webster,395
norman,396
malone,397
hammond,398
flowers,399
cobb,400
moody,401
quinn,402
blake,403
maxwell,404
pope,405
floyd,406
osborne,407
paul,408
mccarthy,409
guerrero,410
lindsey,411
estrada,412
sandoval,413
gibbs,414
tyler,415
gross,416
fitzgerald,417
stokes,418
doyle,419
sherman,420
saunders,421
wise,422
colon,423
gill,424
alvarado,425
greer,426
padilla,427
simon,428
waters,429
nunez,430
ballard,431
schwartz,432
mcbride,433
houston,434
christensen,435
klein,436
pratt,437
briggs,438
parsons,439
mclaughlin,440
zimmerman,441
french,442
buchanan,443
moran,444
copeland,445
roy,446
pittman,447
brady,448
mccormick,449
holloway,450
brock,451
poole,452
frank,453
logan,454
owen,455
bass,456
marsh,457
drake,458
wong,459
jefferson,460
park,461
morton,462
abbott,463
sparks,464
patrick,465
norton,466
huff,467
clayton,468
massey,469
lloyd,470
figueroa,471
carson,472
bowers,473
roberson,474
barton,475
tran,476
lamb,477
harrington,478
casey,479
boone,480
cortez,481
clarke,482
mathis,483
singleton,484
wilkins,485
cain,486
bryan,487
underwood,488
hogan,489
mckenzie,490
collier,491
luna,492
phelps,493
mcguire,494
allison,495
bridges,496
wilkerson,497
nash,498
summers,499
atkins,500
wilcox,501
pitts,502
conley,503
marquez,504
burnett,505
richard,506
cochran,507
chase,508
davenport,509
hood,510
gates,511
clay,512
ayala,513
sawyer,514
roman,515
vazquez,516
dickerson,517
hodge,518
acosta,519
flynn,520
espinoza,521
nicholson,522
monroe,523
wolf,524
morrow,525
kirk,526
randall,527
anthony,528
whitaker,529
oconnor,530
skinner,531
ware,532
molina,533
kirby,534
huffman,535
bradford,536
charles,537
gilmore,538
dominguez,539
oneal,540
bruce,541
lang,542
combs,543
kramer,544
heath,545
hancock,546
gallagher,547
gaines,548
shaffer,549
short,550
wiggins,551
mathews,552
mcclain,553
fischer,554
wall,555
small,556
melton,557
hensley,558
bond,559
dyer,560
cameron,561
grimes,562
contreras,563
christian,564
wyatt,565
baxter,566
snow,567
mosley,568
shepherd,569
larsen,570
hoover,571
beasley,572
glenn,573
petersen,574
whitehead,575
meyers,576
keith,577
garrison,578
vincent,579
shields,580
horn,581
savage,582
olsen,583
schroeder,584
hartman,585
woodard,586
mueller,587
kemp,588
deleon,589
booth,590
patel,591
calhoun,592
wiley,593
eaton,594
cline,595
navarro,596
harrell,597
lester,598
humphrey,599
parrish,600
duran,601
hutchinson,602
hess,603
dorsey,604
bullock,605
robles,606
beard,607
dalton,608
avila,609
vance,610
rich,611
blackwell,612
york,613
johns,614
blankenship,615
trevino,616
salinas,617
campos,618
pruitt,619
moses,620
callahan,621
golden,622
montoya,623
hardin,624
guerra,625
mcdowell,626
carey,627
stafford,628
gallegos,629
henson,630
wilkinson,631
booker,632
merritt,633
miranda,634
atkinson,635
orr,636
decker,637
hobbs,638
preston,639
tanner,640
knox,641
pacheco,642
stephenson,643
glass,644
rojas,645
serrano,646
marks,647
hickman,648
english,649
sweeney,650
strong,651
prince,652
mcclure,653
conway,654
walter,655
roth,656
maynard,657
farrell,658
lowery,659
hurst,660
nixon,661
weiss,662
trujillo,663
ellison,664
sloan,665
juarez,666
winters,667
mclean,668
randolph,669
leon,670
boyer,671
villarreal,672
mccall,673
gentry,674
carrillo,675
kent,676
ayers,677
lara,678
shannon,679
sexton,680
pace,681
hull,682
leblanc,683
browning,684
velasquez,685
leach,686
chang,687
house,688
sellers,689
herring,690
noble,691
foley,692
bartlett,693
mercado,694
landry,695
durham,696
walls,697
barr,698
mckee,699
bauer,700
rivers,701
everett,702
bradshaw,703
pugh,704
velez,705
rush,706
estes,707
dodson,708
morse,709
sheppard,710
weeks,711
camacho,712
bean,713
barron,714
livingston,715
middleton,716
spears,717
branch,718
blevins,719
chen,720
kerr,721
mcconnell,722
hatfield,723
harding,724
ashley,725
solis,726
herman,727
frost,728
giles,729
blackburn,730
william,731
pennington,732
woodward,733
finley,734
mcintosh,735
koch,736
best,737
solomon,738
mccullough,739
dudley,740
nolan,741
blanchard,742
rivas,743
brennan,744
mejia,745
kane,746
benton,747
joyce,748
buckley,749
haley,750
valentine,751
maddox,752
russo,753
mcknight,754
buck,755
moon,756
mcmillan,757
crosby,758
berg,759
dotson,760
mays,761
roach,762
church,763
chan,764
richmond,765
meadows,766
faulkner,767
oneill,768
knapp,769
kline,770
barry,771
ochoa,772
jacobson,773
gay,774
avery,775
hendricks,776
horne,777
shepard,778
hebert,779
cherry,780
cardenas,781
mcintyre,782
whitney,783
waller,784
holman,785
donaldson,786
cantu,787
terrell,788
morin,789
gillespie,790
fuentes,791
tillman,792
sanford,793
bentley,794
peck,795
key,796
salas,797
rollins,798
gamble,799
dickson,800
battle,801
santana,802
cabrera,803
cervantes,804
howe,805
hinton,806
hurley,807
spence,808
zamora,809
yang,810
mcneil,811
suarez,812
case,813
petty,814
gould,815
mcfarland,816
sampson,817
carver,818
bray,819
rosario,820
macdonald,821
stout,822
hester,823
melendez,824
dillon,825
farley,826
hopper,827
galloway,828
potts,829
bernard,830
joyner,831
stein,832
aguirre,833
osborn,834
mercer,835
bender,836
franco,837
rowland,838
sykes,839
benjamin,840
travis,841
pickett,842
crane,843
sears,844
mayo,845
dunlap,846
hayden,847
wilder,848
mckay,849
coffey,850
mccarty,851
ewing,852
cooley,853
vaughan,854
bonner,855
cotton,856
holder,857
stark,858
ferrell,859
cantrell,860
fulton,861
lynn,862
lott,863
calderon,864
rosa,865
pollard,866
hooper,867
burch,868
mullen,869
fry,870
riddle,871
levy,872
david,873
duke,874
odonnell,875
guy,876
michael,877
britt,878
frederick,879
daugherty,880
berger,881
dillard,882
alston,883
jarvis,884
frye,885
riggs,886
chaney,887
odom,888
duffy,889
fitzpatrick,890
valenzuela,891
merrill,892
mayer,893
alford,894
mcpherson,895
acevedo,896
donovan,897
barrera,898
albert,899
cote,900
reilly,901
compton,902
raymond,903
mooney,904
mcgowan,905
craft,906
cleveland,907
clemons,908
wynn,909
nielsen,910
baird,911
stanton,912
snider,913
rosales,914
bright,915
witt,916
stuart,917
hays,918
holden,919
rutledge,920
kinney,921
clements,922
castaneda,923
slater,924
hahn,925
emerson,926
conrad,927
burks,928
delaney,929
pate,930
lancaster,931
sweet,932
justice,933
tyson,934
sharpe,935
whitfield,936
talley,937
macias,938
irwin,939
burris,940
ratliff,941
mccray,942
madden,943
kaufman,944
beach,945
goff,946
cash,947
bolton,948
mcfadden,949
levine,950
good,951
byers,952
kirkland,953
kidd,954
workman,955
carney,956
dale,957
mcleod,958
holcomb,959
england,960
finch,961
head,962
burt,963
hendrix,964
sosa,965
haney,966
franks,967
sargent,968
nieves,969
downs,970
rasmussen,971
bird,972
hewitt,973
lindsay,974
le,975
foreman,976
valencia,977
oneil,978
delacruz,979
vinson,980
dejesus,981
hyde,982
forbes,983
gilliam,984
guthrie,985
wooten,986
huber,987
barlow,988
boyle,989
mcmahon,990
buckner,991
rocha,992
puckett,993
langley,994
knowles,995
cooke,996
velazquez,997
whitley,998
noel,999
vang,1000
shea,1001
rouse,1002
hartley,1003
mayfield,1004
elder,1005
rankin,1006
hanna,1007
cowan,1008
lucero,1009
arroyo,1010
slaughter,1011
haas,1012
oconnell,1013
minor,1014
kendrick,1015
shirley,1016
kendall,1017
boucher,1018
archer,1019
boggs,1020
odell,1021
dougherty,1022
andersen,1023
newell,1024
crowe,1025
wang,1026
friedman,1027
bland,1028
swain,1029
holley,1030
felix,1031
pearce,1032
childs,1033
yarbrough,1034
galvan,1035
proctor,1036
meeks,1037
lozano,1038
mora,1039
rangel,1040
bacon,1041
villanueva,1042
schaefer,1043
rosado,1044
helms,1045
boyce,1046
goss,1047
stinson,1048
smart,1049
lake,1050
ibarra,1051
hutchins,1052
covington,1053
reyna,1054
gregg,1055
werner,1056
crowley,1057
hatcher,1058
mackey,1059
bunch,1060
womack,1061
polk,1062
jamison,1063
dodd,1064
childress,1065
childers,1066
camp,1067
villa,1068
dye,1069
springer,1070
mahoney,1071
dailey,1072
belcher,1073
lockhart,1074
griggs,1075
costa,1076
connor,1077
brandt,1078
winter,1079
walden,1080
moser,1081
tracy,1082
tatum,1083
mccann,1084
akers,1085
lutz,1086
pryor,1087
law,1088
orozco,1089
mcallister,1090
lugo,1091
davies,1092
shoemaker,1093
madison,1094
rutherford,1095
newsome,1096
magee,1097
chamberlain,1098
blanton,1099
simms,1100
godfrey,1101
flanagan,1102
crum,1103
cordova,1104
escobar,1105
downing,1106
sinclair,1107
donahue,1108
krueger,1109
mcginnis,1110
gore,1111
farris,1112
webber,1113
corbett,1114
andrade,1115
starr,1116
lyon,1117
yoder,1118
hastings,1119
mcgrath,1120
spivey,1121
krause,1122
harden,1123
crabtree,1124
kirkpatrick,1125
hollis,1126
brandon,1127
arrington,1128
ervin,1129
clifton,1130
ritter,1131
mcghee,1132
bolden,1133
maloney,1134
gagnon,1135
dunbar,1136
ponce,1137
pike,1138
mayes,1139
heard,1140
beatty,1141
mobley,1142
kimball,1143
butts,1144
montes,1145
herbert,1146
grady,1147
eldridge,1148
braun,1149
hamm,1150
gibbons,1151
seymour,1152
moyer,1153
manley,1154
herron,1155
plummer,1156
elmore,1157
cramer,1158
gary,1159
rucker,1160
hilton,1161
blue,1162
pierson,1163
fontenot,1164
field,1165
rubio,1166
grace,1167
goldstein,1168
elkins,1169
wills,1170
novak,1171
john,1172
hickey,1173
worley,1174
gorman,1175
katz,1176
dickinson,1177
broussard,1178
fritz,1179
woodruff,1180
crow,1181
christopher,1182
britton,1183
forrest,1184
nance,1185
lehman,1186
bingham,1187
zuniga,1188
whaley,1189
shafer,1190
coffman,1191
steward,1192
delarosa,1193
nix,1194
neely,1195
numbers,1196
mata,1197
manuel,1198
davila,1199
mccabe,1200
kessler,1201
emery,1202
bowling,1203
hinkle,1204
welsh,1205
pagan,1206
goldberg,1207
goins,1208
crouch,1209
cuevas,1210
quinones,1211
mcdermott,1212
hendrickson,1213
samuels,1214
denton,1215
bergeron,1216
lam,1217
ivey,1218
locke,1219
haines,1220
thurman,1221
snell,1222
hoskins,1223
byrne,1224
milton,1225
winston,1226
arthur,1227
arias,1228
stanford,1229
roe,1230
corbin,1231
beltran,1232
chappell,1233
hurt,1234
downey,1235
dooley,1236
tuttle,1237
couch,1238
payton,1239
mcelroy,1240
crockett,1241
groves,1242
clement,1243
leslie,1244
cartwright,1245
dickey,1246
mcgill,1247
dubois,1248
muniz,1249
erwin,1250
self,1251
tolbert,1252
dempsey,1253
cisneros,1254
sewell,1255
latham,1256
garland,1257
vigil,1258
tapia,1259
sterling,1260
rainey,1261
norwood,1262
lacy,1263
stroud,1264
meade,1265
amos,1266
tipton,1267
lord,1268
kuhn,1269
hilliard,1270
bonilla,1271
teague,1272
courtney,1273
gunn,1274
ho,1275
greenwood,1276
correa,1277
reece,1278
weston,1279
poe,1280
trent,1281
pineda,1282
phipps,1283
frey,1284
kaiser,1285
ames,1286
paige,1287
gunter,1288
schmitt,1289
milligan,1290
espinosa,1291
carlton,1292
bowden,1293
vickers,1294
lowry,1295
pritchard,1296
costello,1297
piper,1298
mcclellan,1299
lovell,1300
drew,1301
sheehan,1302
quick,1303
hatch,1304
dobson,1305
singh,1306
jeffries,1307
hollingsworth,1308
sorensen,1309
meza,1310
fink,1311
donnelly,1312
burrell,1313
bruno,1314
tomlinson,1315
colbert,1316
billings,1317
ritchie,1318
helton,1319
sutherland,1320
peoples,1321
mcqueen,1322
gaston,1323
thomason,1324
mckinley,1325
givens,1326
crocker,1327
vogel,1328
robison,1329
dunham,1330
coker,1331
swartz,1332
keys,1333
lilly,1334
ladner,1335
hannah,1336
willard,1337
richter,1338
hargrove,1339
edmonds,1340
brantley,1341
albright,1342
murdock,1343
boswell,1344
muller,1345
quintero,1346
padgett,1347
kenney,1348
daly,1349
connolly,1350
pierre,1351
inman,1352
quintana,1353
lund,1354
barnard,1355
villegas,1356
simons,1357
land,1358
huggins,1359
tidwell,1360
sanderson,1361
bullard,1362
mcclendon,1363
duarte,1364
draper,1365
meredith,1366
marrero,1367
dwyer,1368
abrams,1369
stover,1370
goode,1371
fraser,1372
crews,1373
bernal,1374
smiley,1375
godwin,1376
fish,1377
conklin,1378
mcneal,1379
baca,1380
esparza,1381
crowder,1382
bower,1383
nicholas,1384
chung,1385
brewster,1386
mcneill,1387
dick,1388
rodrigues,1389
leal,1390
coates,1391
raines,1392
mccain,1393
mccord,1394
miner,1395
holbrook,1396
swift,1397
dukes,1398
carlisle,1399
aldridge,1400
ackerman,1401
starks,1402
ricks,1403
holliday,1404
ferris,1405
hairston,1406
sheffield,1407
lange,1408
fountain,1409
marino,1410
doss,1411
betts,1412
kaplan,1413
carmichael,1414
bloom,1415
ruffin,1416
penn,1417
kern,1418
bowles,1419
sizemore,1420
larkin,1421
dupree,1422
jewell,1423
silver,1424
seals,1425
metcalf,1426
hutchison,1427
henley,1428
farr,1429
castle,1430
mccauley,1431
hankins,1432
gustafson,1433
deal,1434
curran,1435
ash,1436
waddell,1437
ramey,1438
cates,1439
pollock,1440
major,1441
irvin,1442
cummins,1443
messer,1444
heller,1445
dewitt,1446
lin,1447
funk,1448
cornett,1449
palacios,1450
galindo,1451
cano,1452
hathaway,1453
singer,1454
pham,1455
enriquez,1456
aaron,1457
salgado,1458
pelletier,1459
painter,1460
wiseman,1461
blount,1462
hand,1463
feliciano,1464
temple,1465
houser,1466
doherty,1467
mead,1468
mcgraw,1469
toney,1470
swan,1471
melvin,1472
capps,1473
blanco,1474
blackmon,1475
wesley,1476
thomson,1477
mcmanus,1478
fair,1479
burkett,1480
post,1481
gleason,1482
rudolph,1483
ott,1484
dickens,1485
cormier,1486
voss,1487
rushing,1488
rosenberg,1489
hurd,1490
dumas,1491
benitez,1492
arellano,1493
story,1494
marin,1495
caudill,1496
bragg,1497
jaramillo,1498
huerta,1499
gipson,1500
colvin,1501
biggs,1502
vela,1503
platt,1504
cassidy,1505
tompkins,1506
mccollum,1507
kay,1508
gabriel,1509
dolan,1510
daley,1511
crump,1512
street,1513
sneed,1514
kilgore,1515
grove,1516
grimm,1517
davison,1518
brunson,1519
prater,1520
marcum,1521
devine,1522
kyle,1523
dodge,1524
stratton,1525
rosas,1526
choi,1527
tripp,1528
ledbetter,1529
lay,1530
hightower,1531
haywood,1532
feldman,1533
epps,1534
yeager,1535
posey,1536
sylvester,1537
scruggs,1538
cope,1539
stubbs,1540
richey,1541
overton,1542
trotter,1543
sprague,1544
cordero,1545
butcher,1546
burger,1547
stiles,1548
burgos,1549
woodson,1550
horner,1551
bassett,1552
purcell,1553
haskins,1554
gee,1555
akins,1556
abraham,1557
hoyt,1558
ziegler,1559
spaulding,1560
hadley,1561
grubbs,1562
sumner,1563
murillo,1564
zavala,1565
shook,1566
lockwood,1567
jarrett,1568
driscoll,1569
dahl,1570
thorpe,1571
sheridan,1572
redmond,1573
putnam,1574
mcwilliams,1575
mcrae,1576
cornell,1577
felton,1578
romano,1579
joiner,1580
sadler,1581
hedrick,1582
hager,1583
hagen,1584
fitch,1585
coulter,1586
thacker,1587
mansfield,1588
langston,1589
guidry,1590
ferreira,1591
corley,1592
conn,1593
rossi,1594
lackey,1595
cody,1596
baez,1597
saenz,1598
mcnamara,1599
darnell,1600
michel,1601
mcmullen,1602
mckenna,1603
mcdonough,1604
link,1605
engel,1606
browne,1607
roper,1608
peacock,1609
eubanks,1610
drummond,1611
stringer,1612
pritchett,1613
parham,1614
mims,1615
landers,1616
ham,1617
grayson,1618
stacy,1619
schafer,1620
egan,1621
timmons,1622
ohara,1623
keen,1624
hamlin,1625
finn,1626
cortes,1627
mcnair,1628
louis,1629
clifford,1630
nadeau,1631
moseley,1632
michaud,1633
rosen,1634
oakes,1635
kurtz,1636
jeffers,1637
calloway,1638
beal,1639
bautista,1640
winn,1641
suggs,1642
stern,1643
stapleton,1644
lyles,1645
laird,1646
montano,1647
diamond,1648
dawkins,1649
roland,1650
hagan,1651
goldman,1652
bryson,1653
barajas,1654
lovett,1655
segura,1656
metz,1657
lockett,1658
langford,1659
hinson,1660
eastman,1661
rock,1662
hooks,1663
woody,1664
smallwood,1665
shapiro,1666
crowell,1667
whalen,1668
triplett,1669
hooker,1670
chatman,1671
aldrich,1672
cahill,1673
youngblood,1674
ybarra,1675
stallings,1676
sheets,1677
samuel,1678
reeder,1679
person,1680
pack,1681
lacey,1682
connelly,1683
bateman,1684
abernathy,1685
winkler,1686
wilkes,1687
masters,1688
hackett,1689
granger,1690
gillis,1691
schmitz,1692
sapp,1693
napier,1694
souza,1695
lanier,1696
gomes,1697
weir,1698
otero,1699
ledford,1700
burroughs,1701
babcock,1702
ventura,1703
siegel,1704
dugan,1705
clinton,1706
christie,1707
bledsoe,1708
atwood,1709
wray,1710
varner,1711
spangler,1712
otto,1713
anaya,1714
staley,1715
kraft,1716
fournier,1717
eddy,1718
belanger,1719
wolff,1720
thorne,1721
bynum,1722
burnette,1723
boykin,1724
swenson,1725
purvis,1726
pina,1727
khan,1728
duvall,1729
darby,1730
xiong,1731
kauffman,1732
ali,1733
yu,1734
healy,1735
engle,1736
corona,1737
benoit,1738
valle,1739
steiner,1740
spicer,1741
shaver,1742
randle,1743
lundy,1744
dow,1745
chin,1746
calvert,1747
staton,1748
neff,1749
kearney,1750
darden,1751
oakley,1752
medeiros,1753
mccracken,1754
crenshaw,1755
block,1756
beaver,1757
perdue,1758
dill,1759
whittaker,1760
tobin,1761
cornelius,1762
washburn,1763
hogue,1764
goodrich,1765
easley,1766
bravo,1767
dennison,1768
vera,1769
shipley,1770
kerns,1771
jorgensen,1772
crain,1773
abel,1774
villalobos,1775
maurer,1776
longoria,1777
keene,1778
coon,1779
sierra,1780
witherspoon,1781
staples,1782
pettit,1783
kincaid,1784
eason,1785
madrid,1786
echols,1787
lusk,1788
wu,1789
stahl,1790
currie,1791
thayer,1792
shultz,1793
sherwood,1794
mcnally,1795
seay,1796
north,1797
maher,1798
kenny,1799
hope,1800
gagne,1801
barrow,1802
nava,1803
myles,1804
moreland,1805
honeycutt,1806
hearn,1807
diggs,1808
caron,1809
whitten,1810
westbrook,1811
stovall,1812
ragland,1813
queen,1814
munson,1815
meier,1816
looney,1817
kimble,1818
jolly,1819
hobson,1820
london,1821
goddard,1822
culver,1823
burr,1824
presley,1825
negron,1826
connell,1827
tovar,1828
marcus,1829
huddleston,1830
hammer,1831
ashby,1832
salter,1833
root,1834
pendleton,1835
oleary,1836
nickerson,1837
myrick,1838
judd,1839
jacobsen,1840
elliot,1841
bain,1842
adair,1843
starnes,1844
sheldon,1845
matos,1846
light,1847
busby,1848
herndon,1849
hanley,1850
bellamy,1851
jack,1852
doty,1853
bartley,1854
yazzie,1855
rowell,1856
parson,1857
gifford,1858
cullen,1859
christiansen,1860
benavides,1861
barnhart,1862
talbot,1863
mock,1864
crandall,1865
connors,1866
bonds,1867
whitt,1868
gage,1869
bergman,1870
arredondo,1871
addison,1872
marion,1873
lujan,1874
dowdy,1875
jernigan,1876
huynh,1877
bouchard,1878
dutton,1879
rhoades,1880
ouellette,1881
kiser,1882
rubin,1883
herrington,1884
hare,1885
denny,1886
blackman,1887
babb,1888
allred,1889
rudd,1890
paulson,1891
ogden,1892
koenig,1893
jacob,1894
irving,1895
geiger,1896
begay,1897
parra,1898
champion,1899
lassiter,1900
hawk,1901
esposito,1902
cho,1903
waldron,1904
vernon,1905
ransom,1906
prather,1907
keenan,1908
jean,1909
grover,1910
chacon,1911
vick,1912
sands,1913
roark,1914
parr,1915
mayberry,1916
greenberg,1917
coley,1918
bruner,1919
whitman,1920
skaggs,1921
shipman,1922
means,1923
leary,1924
hutton,1925
romo,1926
medrano,1927
ladd,1928
kruse,1929
friend,1930
darling,1931
askew,1932
valentin,1933
schulz,1934
alfaro,1935
tabor,1936
mohr,1937
gallo,1938
bermudez,1939
pereira,1940
isaac,1941
bliss,1942
reaves,1943
flint,1944
comer,1945
boston,1946
woodall,1947
naquin,1948
guevara,1949
earl,1950
delong,1951
carrier,1952
pickens,1953
brand,1954
tilley,1955
schaffer,1956
read,1957
lim,1958
knutson,1959
fenton,1960
doran,1961
chu,1962
vogt,1963
vann,1964
prescott,1965
mclain,1966
landis,1967
corcoran,1968
ambrose,1969
zapata,1970
hyatt,1971
hemphill,1972
faulk,1973
call,1974
dove,1975
boudreaux,1976
aragon,1977
whitlock,1978
trejo,1979
tackett,1980
shearer,1981
saldana,1982
hanks,1983
gold,1984
driver,1985
mckinnon,1986
koehler,1987
champagne,1988
bourgeois,1989
pool,1990
keyes,1991
goodson,1992
foote,1993
early,1994
lunsford,1995
goldsmith,1996
flood,1997
winslow,1998
sams,1999
reagan,2000
mccloud,2001
hough,2002
esquivel,2003
naylor,2004
loomis,2005
coronado,2006
ludwig,2007
braswell,2008
bearden,2009
sherrill,2010
huang,2011
fagan,2012
ezell,2013
edmondson,2014
cyr,2015
cronin,2016
nunn,2017
lemon,2018
guillory,2019
grier,2020
dubose,2021
traylor,2022
ryder,2023
dobbins,2024
coyle,2025
aponte,2026
whitmore,2027
smalls,2028
rowan,2029
malloy,2030
cardona,2031
braxton,2032
borden,2033
humphries,2034
carrasco,2035
ruff,2036
metzger,2037
huntley,2038
hinojosa,2039
finney,2040
madsen,2041
hong,2042
hills,2043
ernst,2044
dozier,2045
burkhart,2046
bowser,2047
peralta,2048
daigle,2049
whittington,2050
sorenson,2051
saucedo,2052
roche,2053
redding,2054
loyd,2055
fugate,2056
avalos,2057
waite,2058
lind,2059
huston,2060
hay,2061
benedict,2062
hawthorne,2063
hamby,2064
boyles,2065
boles,2066
regan,2067
faust,2068
crook,2069
beam,2070
barger,2071
hinds,2072
gallardo,2073
elias,2074
willoughby,2075
willingham,2076
wilburn,2077
eckert,2078
busch,2079
zepeda,2080
worthington,2081
tinsley,2082
russ,2083
li,2084
hoff,2085
hawley,2086
carmona,2087
varela,2088
rector,2089
newcomb,2090
mallory,2091
kinsey,2092
dube,2093
whatley,2094
strange,2095
ragsdale,2096
ivy,2097
bernstein,2098
becerra,2099
yost,2100
mattson,2101
ly,2102
felder,2103
cheek,2104
luke,2105
handy,2106
grossman,2107
gauthier,2108
escobedo,2109
braden,2110
beckman,2111
mott,2112
hillman,2113
gil,2114
flaherty,2115
dykes,2116
doe,2117
stockton,2118
stearns,2119
lofton,2120
kitchen,2121
coats,2122
cavazos,2123
beavers,2124
barrios,2125
tang,2126
parish,2127
mosher,2128
lincoln,2129
cardwell,2130
coles,2131
burnham,2132
weller,2133
lemons,2134
beebe,2135
aguilera,2136
ring,2137
parnell,2138
harman,2139
couture,2140
alley,2141
schumacher,2142
redd,2143
dobbs,2144
blum,2145
blalock,2146
merchant,2147
ennis,2148
denson,2149
cottrell,2150
chester,2151
brannon,2152
bagley,2153
aviles,2154
watt,2155
sousa,2156
rosenthal,2157
rooney,2158
dietz,2159
blank,2160
paquette,2161
mcclelland,2162
duff,2163
velasco,2164
lentz,2165
grubb,2166
burrows,2167
barbour,2168
ulrich,2169
shockley,2170
rader,2171
german,2172
beyer,2173
mixon,2174
layton,2175
altman,2176
alonzo,2177
weathers,2178
titus,2179
stoner,2180
squires,2181
shipp,2182
priest,2183
lipscomb,2184
cutler,2185
caballero,2186
zimmer,2187
willett,2188
thurston,2189
storey,2190
medley,2191
lyle,2192
epperson,2193
shah,2194
